,neuroid_id,parc_lang,parc_glasser,parc_name_glasser,tstat_langloc_SN,top10_tstat_langloc_SN_parc_lang_int,ncsnr,nc,corr_SentPC1,corr_SentPC2
133,133,5,139,TPOJ1,10.794844473994832,5,0.57281143998157,49.60538083556682,0.3623478044840283,0.2654794719047283
363,363,3,12,55b,13.903907731458183,3,0.6024958227804119,52.13028946667827,0.5201085932004523,0.4729140936339381
456,456,3,79,IFJa,8.480507568762249,3,0.4222330721094562,34.846726664309635,0.4484230820759361,0.3660376009477797
546,546,5,25,PSL,10.741697054626924,5,0.5287495742901217,45.61458699949153,0.5768280863160281,0.3171368240801276
558,558,5,129,STSdp,12.842497003333326,5,0.4900626789394963,41.87683043364803,-0.0226174529152868,0.6168785806439652
770,770,5,139,TPOJ1,8.221960971255388,5,0.4084219738362297,33.35224024249269,0.3194273584853805,0.0440830361760652
1152,1152,2,74,44,5.2983365764429,2,0.4041618272921909,32.88772338308774,0.4551117560445722,0.4338475916289444
1164,1164,1,75,45,11.028244835960546,1,0.4090694300970562,33.42269764594024,0.3320964155473871,0.5424292071741315
1206,1206,5,25,PSL,10.83680157104228,5,0.5797572203435699,50.20801358221928,0.5501956518515965,0.4989255043595806
1231,1231,5,129,STSdp,10.431356173403035,5,0.5484578494746051,47.43531757735595,0.5395061655367632,0.2980602996791995
1233,1233,5,129,STSdp,8.351442076542122,5,0.4804495885016345,40.91564518105668,0.1221563655660678,0.5196390120455932
1673,1673,5,139,TPOJ1,9.505183813397712,5,0.5106325826466015,43.89073651752259,0.3008083712388866,0.1393041479107648
1674,1674,5,139,TPOJ1,13.599494897613052,5,0.6190486851280637,53.48109834728479,0.5148534830534562,0.3688026015347951
1675,1675,5,139,TPOJ1,9.136560969258134,5,0.5090876429345618,43.74154773397834,0.3976155540583491,0.0668793918228127
1750,1750,4,123,STGa,9.415004539934635,4,0.4846714197873581,41.33931112419935,0.2569821725003843,0.4637862580934306
2027,2027,3,73,8C,9.569057795496782,3,0.5642120774363305,48.849256741068494,0.2172080663322818,0.6284004557417386
2313,2313,5,129,STSdp,15.61426956706476,5,0.6475236316158657,55.710285325271656,0.3508390885783967,0.680418318615859
2314,2314,5,129,STSdp,9.044824586218503,5,0.4419864344218904,36.95052479450378,0.3038056270007082,0.4567487113488399
2465,2465,4,123,STGa,11.296636295490702,4,0.489491379974286,41.82005824045245,0.2734932638067501,0.5571873875845617
2919,2919,3,80,IFJp,8.562377643438552,3,0.5615982782429572,48.61723529432621,0.6463518852737171,0.2087973062211713
3074,3074,2,74,44,5.822152420103453,2,0.5086569735510418,43.69989907516759,0.4982898257736896,0.349576986717828
3083,3083,1,75,45,10.641316984214782,1,0.4542224327203658,38.2317245623347,0.2445029189019859,0.5923987579671561
3084,3084,1,75,45,9.709812872108976,1,0.4330262046644443,36.00143691737618,0.3715173451367934,0.614901367315265
3150,3150,5,139,TPOJ1,12.933921017750633,5,0.471946147880276,40.05513127767595,0.4646990661149556,0.2447408452924748
3151,3151,5,139,TPOJ1,9.153293891117997,5,0.4693104528784149,39.78649145659195,0.4703549801618422,0.3697288417130002
3748,3748,5,139,TPOJ1,9.168820489758572,5,0.4204052641681744,34.64999471501977,0.1998594564667008,-0.1552907171186164
3877,3877,4,123,STGa,7.922927893048524,4,0.5140222189402881,44.21686551631444,0.469115241946884,0.4725486970268799
4432,4432,3,79,IFJa,9.21991601834308,3,0.5218002219684936,44.95896846405573,0.4827299270132425,0.2744714042728992
4435,4435,3,12,55b,15.204779031834782,3,0.6672395911254029,57.18492630265746,0.5977624199774796,0.3905360801122836
4437,4437,3,11,PEF,10.985031965885566,3,0.7131894177303562,60.410424130436816,0.6521819322671801,0.2586615011820503
4937,4937,1,75,45,6.635618128639204,1,0.5334094867579101,46.05025971360525,0.6128787694702003,0.3353707824828487
5057,5057,5,25,PSL,8.662840715044092,5,0.5542772528127006,47.96192404463792,0.1187770283854935,0.7426244119267785
5063,5063,5,28,STV,12.421133789916562,5,0.5377995908951715,46.45778635216553,0.5486899123003279,0.3128830957953388
5064,5064,5,28,STV,10.391195567387063,5,0.47667947445358,40.53529994884895,0.6173183388098252,0.2903859015006384
5127,5127,5,137,PHT,9.743581370901245,5,0.4929755202205117,42.16559508591357,0.5967674338415019,0.0673209643670665
5132,5132,5,130,STSvp,9.327728846820603,5,0.4370136310823693,36.42489495823074,0.17800597128891,0.435253248222027
5138,5138,5,129,STSdp,10.230247873124258,5,0.6796002561484568,58.0812887764531,0.4504710225587552,0.5529831699517428
5139,5139,5,129,STSdp,14.222275965231892,5,0.7248861612291896,61.18584750636937,0.3854276808080477,0.6990186660477832
5141,5141,5,129,STSdp,10.20213943215528,5,0.4410564044692605,36.85243178246483,0.111276817602384,0.4499144828307543
6405,6405,3,80,IFJp,8.628531908357878,3,0.4480854821610902,37.59134279174924,0.5106745855035957,0.4495896198526514
6406,6406,3,12,55b,13.435925656449388,3,0.6520589319490387,56.054436379067866,0.6683399768975724,0.2475346715787386
6407,6407,3,12,55b,12.06698910879115,3,0.6166893491332336,53.29104871626167,0.6125236697893266,0.1528341300118492
6684,6684,2,74,44,5.29096858229626,2,0.4300486915809888,35.684106319690336,0.4611460065005887,0.4343783880599679
6685,6685,2,74,44,6.084041695592957,2,0.460975135071148,38.93108235431413,0.5222490258676159,0.3510835544696487
