,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,2235,abstract,0.5814585644260745,0.8289207185574313,0.5869468005259681,0.8367446855429844,0.7014646291360473,4,133,47.8,14.048487463068756,100.0,100.0,2.4933190199993858,0.0198363567395423,0.7101611494935341,A5,0.03800314435355112,0.05417685051398437,p2
1,5057,abstract,0.5614398241432064,0.8106901874163258,0.5660165399289344,0.8172987292734077,0.6925454789733156,10,136,49.8,11.668761716651858,100.0,100.0,8.662840715044092,0.1187770283854935,0.7426244119267785,PSL,0.036117870596693025,0.052152344782088564,p2
2,27343,abstract,0.5203899937915389,0.7254650677467227,0.531159442345761,0.7404785361419532,0.7173191610836038,6,187,66.2,13.181805642627266,82.0,100.0,4.6932425356974745,-0.0138053608887932,0.6972833690376007,A5,0.058116894942069286,0.08101957691228569,p2
3,27534,abstract,0.4291449114309377,0.6828810254662444,0.434816702829009,0.691906318841461,0.6284329120697626,4,122,41.6,10.818502669038818,100.0,100.0,8.02288843417331,0.0695270322894666,0.6867277557334585,PFcm,0.050700233724815635,0.08067724135872022,p2
4,38432,abstract,0.45596741947043434,0.6301404246657376,0.4590831224190634,0.6344462813900221,0.7235965216995964,3,92,32.0,12.280065146407,100.0,100.0,8.221559089744224,0.1053765259239644,0.7300542441756287,PSL,0.03632316659730933,0.05019809452924515,p2
5,51730,abstract,0.5183393628292169,0.7413328843276887,0.5263854365688978,0.7528404399576405,0.6991992042809437,8,125,45.2,1.16619037896906,100.0,100.0,2.627191126303776,0.0026340386216093,0.6851409259290601,A5,0.05071437020731551,0.07253207654815648,p2
6,51731,abstract,0.5942604155807922,0.8581599107948208,0.6034476955488296,0.8714270831507526,0.6924821447676262,7,149,54.8,11.01635148313633,100.0,100.0,2.116935660379649,0.0041749911279365,0.708377796373445,A5,0.047143434870616785,0.06807891759640466,p2
7,51733,abstract,0.5502467066049586,0.8251950878073628,0.5664362914538466,0.8494743169796225,0.6668080248357108,6,237,76.4,34.575135574571505,82.0,100.0,2.392812532963396,0.0244679363036852,0.6980173424962339,STSdp,0.06634684947566838,0.09949917668134696,p2
8,61248,abstract,0.5351836255598841,0.8147972316578198,0.5399537897259485,0.8220596297795795,0.6568304416928094,10,127,47.8,12.12270596855339,100.0,100.0,8.153125138860323,0.1269110254479415,0.7349932919475404,PFcm,0.03871337761975879,0.05893968239350349,p2
9,61249,abstract,0.456232525511457,0.7179164663525466,0.46142175610890407,0.7260821140985755,0.6354952795962411,8,169,56.8,15.791136754521505,100.0,100.0,7.230886655677258,0.0609425892412636,0.7099064283358776,PFcm,0.045874903300336445,0.07218763816701022,p2
