,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,151,abstract,0.5876553233654809,0.795834106048084,0.5904474272817688,0.7996153217299002,0.7384143490452204,10,122,39.8,36.41647978594307,460.0,100.0,5.080941612981242,0.0687729862596472,0.6801258189020384,STSva,0.02713037768655857,0.03674140097851364,p6
1,10957,abstract,0.5413315367503412,0.7241806867050083,0.545446375068176,0.7296854213018105,0.7475089389823096,9,78,29.6,17.89525076661403,280.0,100.0,6.258268301615334,0.0591335988629589,0.669800444565329,STSva,0.03550996637747528,0.047504403660804446,p6
2,40098,abstract,0.5884534724392494,0.8164423979738813,0.59355702220403,0.8235232541558739,0.7207532018175207,9,30,15.6,5.782732917920384,820.0,1000.0,5.69676691903619,0.1098568352499368,0.6888167893644054,STSda,0.03613347136304479,0.05013293214921161,p6
3,40124,abstract,0.511275106743206,0.7201916257111189,0.5209075007133303,0.7337599950319396,0.7099153732013639,7,109,35.6,24.621941434419828,640.0,1000.0,9.148378655956234,0.0767364777386157,0.6697294632488342,STSva,0.05604084089455508,0.07894017091338489,p6
4,40125,abstract,0.6069036865966703,0.860953624238745,0.6087435850801133,0.8635637043923763,0.7049202994334269,10,23,16.8,0.9797958971132712,820.0,1000.0,7.654963131395776,0.0683008445501909,0.6822795271463332,STSva,0.021378924102421926,0.03032814364915443,p6
5,41673,abstract,0.5418372258424473,0.7899330165468469,0.5425344805113597,0.7909495293622205,0.6859280654087127,8,47,22.2,5.30659966456864,280.0,100.0,4.601672815608275,0.1153915504533238,0.6672080030873736,STSva,0.014883169190784362,0.021697857168034337,p6
6,41675,abstract,0.5907703908736045,0.798112820877401,0.5938550999757647,0.8022801690064612,0.7402091225951543,7,232,78.4,40.157689176545006,64.0,100.0,4.109589141021488,0.0791873437899392,0.6751175098681803,STSva,0.02831830424771653,0.03825716731027751,p6
7,41676,abstract,0.5329234397178892,0.7041057364017886,0.5371835160133768,0.7097342074608772,0.7568798437025991,9,243,83.6,35.758076010881794,64.0,100.0,4.417165449883996,0.0765434695292147,0.6686406170447851,STSva,0.03663797026520521,0.04840658734677756,p6
8,41677,abstract,0.5757043938039702,0.7737626197751777,0.5795780142065171,0.778968872676749,0.7440323157136297,7,160,49.4,38.56215761598409,442.0,100.0,5.255083936899464,0.0633712353392975,0.6853104334365258,STSva,0.032453058833155635,0.04361780818892076,p6
9,61514,abstract,0.5160440123056641,0.7682289784823603,0.5198559349789429,0.7739037453462613,0.6717320314121856,12,61,26.8,15.065191668213185,244.0,100.0,6.563446678648498,0.1338302275562359,0.6705946459938712,STSdp,0.03569134389422768,0.05313330647519307,p6
10,89999,abstract,0.6093346510968614,0.8312127330877054,0.6142985949912056,0.8379842064708202,0.7330670318696471,8,16,12.2,0.9797958971132712,1000.0,1000.0,6.588050540442898,0.1332992069507388,0.7086435084057041,STSda,0.03439101532118782,0.0469138753020654,p6
