,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,1226,abstract,0.18325148790321638,0.2663965973524682,0.18852372880070453,0.2740609664202661,0.6878897468076784,3,22,8.4,7.1442284397967,640.0,1000.0,8.194914073414717,0.0939742120591077,0.3985097016133222,TPOJ1,0.07692152150076534,0.11182245680756048,p8
1,5134,abstract,0.0328172628481548,0.05336424997099798,0.03554425843510336,0.05779862570931198,0.6149671899443934,1,24,10.0,5.966573556070519,262.0,100.0,2.462867408638188,0.085132621733357,0.4065945723742594,STSvp,0.11652448162527004,0.18948081057105898,p8
2,5527,abstract,0.1533734317448087,0.2480653133152154,0.1575147656614947,0.25476348316053093,0.618278427141153,1,46,18.2,9.80612053770501,2080.0,100.0,-1.0377587022587234,-0.0268359066919804,0.5000536149367895,TGd,0.08339690983451101,0.13488568608180063,p8
3,12815,abstract,-0.046776800034262093,-0.07183730260803799,-0.047170441951537426,-0.07244183676834404,0.6511491709187333,1,1,1.0,0.0,100000.0,100000.0,1.949806592226468,0.0493568502920965,0.3655917426207239,STSvp,0.06394613282360855,0.09820504375884301,p8
4,21115,abstract,0.11003578948624493,0.18339482569366436,0.11042885664226754,0.18404994420466192,0.5999939696774459,2,2,2.0,0.0,28000.0,10000.0,7.840704662706588,0.0964236319118001,0.3660983913594158,TPOJ2,0.03182289346029321,0.05303868883449122,p8
5,51835,abstract,-0.12766148268530605,-0.19683444864018587,-0.1283703959077071,-0.19792748422405904,0.648572867032395,1,3,1.6,0.4898979485566356,62200.0,100000.0,9.28519527006462,0.1037311394013965,0.4069867887117794,TPOJ1,0.04043240229549308,0.06234057012050977,p8
6,53060,abstract,-0.0067430184133247025,-0.010078405528944118,-0.006774511836018257,-0.010125476953926864,0.6690560718121001,1,1,1.0,0.0,100000.0,100000.0,2.3390138809791003,0.1027523990801522,0.4831505098610848,TGd,0.02948442900437285,0.044068696551121576,p8
7,61486,abstract,0.06819411644130793,0.1082738626048354,0.0682332010761293,0.10833591846245842,0.6298299035492473,1,2,1.6,0.4898979485566356,82000.0,100000.0,1.807941436354122,0.0778406501634052,0.3816938140413606,STSvp,0.011799076267294872,0.018733750494862436,p8
8,61487,abstract,0.06899925203233312,0.102916699929622,0.06965964647547714,0.10390171954560848,0.6704378597401315,1,3,2.0,0.6324555320336759,62200.0,100000.0,2.4270459514323544,0.0847348844507347,0.35550816905696,STSvp,0.04761955852345699,0.07102754987899224,p8
9,96794,abstract,0.07838880917810556,0.12465013794407986,0.07986365237634294,0.1269953631112141,0.6288706171610664,1,15,5.4,4.317406628984581,2440.0,1000.0,1.6138506603203906,0.04551260132336,0.3992838749081139,STSvp,0.05836462945877341,0.09280864436352741,p8
10,96795,abstract,0.039816749364452855,0.05992650510950678,0.04032555642796899,0.06069228909685494,0.6644263551110425,1,3,1.4,0.8,40240.0,1000.0,1.5122371535383183,0.043943445375286,0.4056588837226125,STSvp,0.05303906886781605,0.07982685885323118,p8
11,96796,abstract,-0.03589517805166238,-0.054030732389540134,-0.03614825467904931,-0.05441167256787578,0.6643474271803758,1,4,2.2,0.9797958971132712,42220.0,10000.0,1.288983792200808,0.0403383249959594,0.3713300378222888,STSvp,0.03308186857684981,0.04979603626562674,p8
12,96797,abstract,0.0365219196084665,0.05389642766755271,0.03724277076561412,0.054960208067564104,0.6776315460784019,1,2,1.8,0.4000000000000001,64000.0,100000.0,2.0351274892252262,0.0466420218897366,0.3596082431594861,STSvp,0.060231154775262696,0.08888481524190132,p8
13,113917,abstract,0.12109303710272423,0.19684566729103228,0.12240460266781283,0.19897771389778138,0.6151673987504671,1,10,4.0,3.1622776601683795,20260.0,100.0,2.8188537431669305,-0.0678304296838318,0.3617314490977478,TGd,0.049724720773200726,0.08083120281439161,p8
14,113937,abstract,-0.09072671083700459,-0.13838187072984337,-0.09446408754928028,-0.14408234390136626,0.655625699800852,1,68,17.0,20.54263858417414,40240.0,1000.0,1.8236368807602208,0.0199303738564755,0.5480018987664356,TGd,0.10672779522967145,0.16278769313358263,p8
