,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,5519,abstract,0.6023634765342432,0.8360273660719156,0.6094791459833077,0.845903287536423,0.720506888864721,14,33,22.2,3.059411708155671,100.0,100.0,8.667701134527375,0.0843603454182365,0.5874078951647311,STGa,0.04128045213207121,0.057293625876520704,p7
1,28365,abstract,0.5375936518156623,0.8354582355625852,0.543532969598793,0.8446883519130688,0.6434716050810783,7,20,12.4,1.4966629547095764,622.0,1000.0,9.00607843142621,0.0223919530319872,0.5873304764756573,STGa,0.04257475829989721,0.06616416010234474,p7
2,28366,abstract,0.6018761401152221,0.814276748487219,0.6098078829018083,0.8250075837797793,0.7391542755376481,13,43,27.0,9.252026804976301,280.0,100.0,10.48004648439259,0.0420356690945541,0.633548175213515,STGa,0.04350741408739778,0.058861073428481805,p7
3,28367,abstract,0.43727054035546775,0.647185029383448,0.444668153895331,0.6581339140996967,0.6756499617613855,10,31,20.0,3.03315017762062,280.0,100.0,8.070911054396825,0.0843222206726696,0.5099480060433296,STGa,0.0558170869559339,0.08261243264252034,p7
4,40093,abstract,0.5221871144568273,0.8062638656761099,0.5463235244653102,0.8435308044768217,0.647662802076509,6,27,16.2,3.370459909270543,100.0,100.0,10.727128401222735,0.0673835546379028,0.5545143314608073,STGa,0.08321070000856678,0.12847843004381318,p7
5,62635,abstract,0.5290074432661198,0.7315217000494262,0.535570546261818,0.7405972855107018,0.7231602879728336,10,48,26.4,8.546344247688598,280.0,100.0,9.226470540562982,0.0990338104795178,0.6195332249774052,STGa,0.04532994667951118,0.06268312493566303,p7
6,62637,abstract,0.4068918023502791,0.6099516394480389,0.4083559381658814,0.6121464539809018,0.6670886280730159,4,38,21.0,8.809086218218097,280.0,100.0,8.81429403867201,0.0836788221490204,0.504759261781234,STGa,0.027162533711935333,0.040718028413103555,p7
7,89986,abstract,0.6454631470527985,0.8901528684933194,0.6538684011590483,0.9017444846642136,0.7251149436223411,17,41,26.4,3.0066592756745814,100.0,100.0,10.486691551971637,0.0389641718669514,0.6038213471476762,STGa,0.04099822846455958,0.05654031657346802,p7
8,89987,abstract,0.532990747684168,0.8858370987300185,0.541743442648379,0.9003841841097444,0.6016803184787484,6,18,11.8,1.32664991614216,100.0,100.0,8.75058796570613,0.0166477394880213,0.5409717464389066,STGa,0.05174395007628618,0.08599907373921158,p7
9,89988,abstract,0.5718877351036447,0.858097307855942,0.5867031144797586,0.8803272603049201,0.6664602369311402,13,33,20.8,1.6,100.0,100.0,9.631164107212348,0.0850179648546918,0.5757319126214058,STGa,0.06145474523216421,0.09221067038469666,p7
10,96777,abstract,0.43201618411187886,0.7379125015010257,0.4347576942361128,0.742595183928358,0.5854571961216168,6,40,20.6,9.393614852653903,622.0,1000.0,9.375852931812409,-0.0112611203312562,0.5088231889007143,PHT,0.03516172533009282,0.06005857569609356,p7
11,96778,abstract,0.40526124393266827,0.6637006502812104,0.4134146354741537,0.6770535463429426,0.6106084780253851,5,22,10.4,5.9531504264548865,802.0,1000.0,9.600047510012493,0.0513725245117247,0.5135214606414201,PHT,0.06305111067300051,0.10325947467499666,p7
12,96779,abstract,0.4591307555512212,0.8062040117729948,0.46316559340750674,0.8132889269682002,0.5694969869245701,6,25,13.6,5.885575587824865,460.0,100.0,9.147388952543531,-0.0057960160533768,0.5279220774266313,PHT,0.04017650891993718,0.07054735993758394,p7
13,101143,abstract,0.3589412761154904,0.6179537907613541,0.3681049699652834,0.6337300185976704,0.5808545581915671,7,34,15.8,5.035871324805669,640.0,1000.0,6.575612280583403,0.1144008888412959,0.5276737687051773,A5,0.07144577841550298,0.1230011496129811,p7
