neuroid,participant,dataset,NC Normalized R,R,R Fischer,NC Normalized R Fischer,feature_indices
106787,p3,abstract,0.5939915118375988,0.3769659521211265,0.3835723460764421,0.6044013165195128,"[   260   -392    513  -1185  -1322   1371   1419   1800  -1823  -2009
   2028   2230   2281  -2291   2342  -3114  -3322   3355  -3440   3488
   4029   4120   4667   4689  -4789  -4857  -5153   5473  -5511   5876
  -5911  -6018  -6439  -6571   6690  -6745  -7507  -7541   7884   8040
  -8838 -10110 -10355 -10739 -11038 -11087  11160 -11281  11306  11539
 -11606 -11781 -12344  12358 -13080  13109  13297 -13390 -13568 -13725
 -14790 -14906 -15026  15637  15781  16025 -16384]"
102947,p3,abstract,0.5916937637043462,0.3585142075181081,0.369441999361006,0.6097290497513442,"[   392  -1371   1419   1565   1587   1800   2281  -2291   2342   2404
  -2795  -3190   3197  -3322   3488   3814   4421   4521  -4667   4689
  -4789   4790  -5078  -5511  -5827   5876   6399   6680  -6745  -7085
  -7217  -7283   7611   7884   8108  -8256  -8750  -8838  -9454   9488
  -9839  -9942 -10355  11078 -11114  11160  11214 -11281  11384 -11606
 -11829  12094  12220 -12344  12358  13263  13297  13367  13390 -13725
 -13726 -14790  14792 -14906 -15026  15631 -15818  16025 -16384]"
16232,p3,abstract,0.5798104686862772,0.3594544046538815,0.3677780294829725,0.5932367190001967,"[   -84   -155    159    201   -304    392    582   -678   -785    827
   1123   1178  -1185  -1322   1519  -1547   1587   1800  -2009   2342
   2356   2377   2404  -2480  -2499  -2514   2547  -2684  -2767  -2795
  -3190  -3316   3322  -3412   3488  -3964   3967   4374   4521   4589
  -4667   4790  -4912  -5078  -5279   5303   5369   5381  -5408  -5472
   5490  -5511   5876   5891  -6000  -6287   6399  -6680   6712   6717
  -6745  -6788  -7085  -7188  -7217  -7248   7405  -7507   7512   7611
   7795   7884   8017  -8256   8502   8579   8659   8707  -8838   9190
  -9230   9273  -9454   9488   9544  -9710  -9711  -9839  -9907  -9942
  10009 -10034 -10225 -10248 -10399 -10563 -10739  10811  10969  11038
  11078 -11128  11160  11214 -11281 -11384  11595 -11781 -11841 -11939
  12094 -12096  12115  12220 -12342 -12344  12358 -12459  13263  13297
  13367  13390 -13580 -13604 -13725 -13726 -13856  14031  14275  14296
  14398  14454 -14505  14558 -14581  14632  14735 -14790  14792  14835
 -14906 -15026 -15143 -15160 -15272 -15514  15631 -15758  15888  16003
  16025  16053 -16384]"
157252,p3,abstract,0.5173860492056145,0.3237026447937942,0.3394431362051531,0.5425446655927799,"[   149    392   -569    630   -725    787   -886   1123   1178  -1322
  -1371  -1488   1587  -1685   1800   1903  -2009  -2033   2064   2213
   2404  -2623   2882  -3316  -3412  -3460  -3473   3488  -3788   3814
   3967  -4084  -4214   4316   4521  -4667  -4748  -4789  -4868   5040
  -5062   5162  -5194  -5279   5381  -5408   5428  -5472  -5547   5876
   5954  -5960  -6000  -6158  -6321   6438  -6745  -6996   7219  -7507
   7517  -7541   7795   7903  -8087  -8212  -8322   8474   8502   8577
   8659  -8750  -9230  -9253  -9839   9996  10053  10141 -10248  10253
  10282  10304 -10355 -10399 -10453 -10563 -10586  11038 -11070  11136
  11160  11595  11919 -11939 -11997 -12096  12131 -12271  12358 -13063
 -13074 -13080  13089  13093  13109  13297  13367  13430  13454  13483
 -13523  13538  13644  13666 -13725  13828  14031 -14047 -14128  14197
  14591  14632  14662 -14845  14906 -15025 -15026 -15143 -15160 -15189
  15781 -15882  16025  16120 -16130 -16198  16290  16313 -16384]"
71731,p3,abstract,0.4985863841223872,0.291127717793762,0.3022180308960917,0.5175796945168062,"[  -155    159    214   -354   -355    392   -480   -554   -569    749
   -902   1033   1123  -1178  -1185   1587   1800   1854  -1920   2009
  -2041   2281  -2514   2547   2600   2735  -2746   2893  -3412   3488
   3526  -3741  -3796   3852  -3964  -4078   4120  -4230   4260   4264
  -4288  -4315  -4760   4886   5012   5078   5178  -5295   5303  -5338
   5428   5472   5490   5511  -5530  -5675  -5681  -6018   6399  -6456
   6690   6717  -6996   7085   7405   7493   7507   7512  -7517  -7541
  -7775  -8212  -8246  -8350  -8380   8502   8659  -8838   9190  -9253
   9412   9488   9544  -9710   9896  -9942  -9945 -10034  10141 -10355
 -10678 -10696 -10739 -10785  10811  10969  11038  11070 -11087  11136
  11160  11214 -11281  11306  11494  11539  11742  12131 -12301  12321
  12358  12416  12451  12738  12907  12917 -12934  13093  13367  13371
 -13390 -13439 -13725 -13726 -13835  14110  14119  14275  14558 -14560
  14615 -14670  14735 -14790  14835  14850 -14906  15444  15631 -15758
 -15951  16025  16053 -16290 -16315  16384]"
111788,p3,abstract,0.4978880663735407,0.3526446526732246,0.3533959422531702,0.4989487888697139,"[  -250    260    621   -725   -785   -885   -903    908  -1206  -1371
   1565  -1570  -1685   1728  -1767   1800  -1823  -1848  -2009   2116
   2160  -2591  -2632   2705   2735   2882   3268   3488  -3549   4144
   4589  -4667  -4853   4868  -5069  -5078   5296   5428  -5472  -5479
  -5511  -5562   5590   5727  -5828  -5911  -5956  -6000  -6289  -6479
  -6910   7136  -7306   7431   7681  -7795  -7833   7884   7890   7903
   7946   8659   8702   8728   8972   9128   9228  -9726  -9759   9996
 -10110 -10248 -10313 -10399 -10453 -10467 -10646 -10739 -10818  11078
 -11086 -11101  11160  11214  11360 -11384  11539 -12105  12225  12358
  12376  12874 -13080  13263 -13297 -13364  13454  13517  13644  13700
  13718  14296  14454  14478 -14668 -14939 -15026 -15189 -15272 -15408
  15444 -15758  15781  15921  15953  16003  16053  16063  16253 -16384]"
157253,p3,abstract,0.4968234341768008,0.3226058122896116,0.3344078948712577,0.5149990248676088,"[   149   -157    392   -569    630   -742   -825   -885  -1032   1123
   1178  -1185   1587  -1643  -1685   1800  -1920   1928  -2009  -2033
  -2041   2064  -2122   2158  -2353   2409   2564  -2623   2735  -2795
   2882  -3322   3436   3488   3741  -3788   3952   3967   3991  -4084
  -4214   4521   4608  -4667  -4748  -4789  -4790  -4912   5032  -5062
  -5194  -5279   5381  -5408   5428  -5472  -5511  -5547  -5828   5876
   5948   5954  -6158  -6272   6314   6399  -6479   6690  -6745  -6996
  -7085   7136   7283   7512   7517  -7541   7795  -7833   7884   7903
  -8087  -8246   8502   8659  -8750  -9349   9416  -9839   9896   9996
  10053  10141 -10248  10304 -10355 -10399 -10563 -10696 -10795  10973
  11038 -11070  11160 -11384  11539 -11606 -11657  11742 -11815 -11939
  12131  12157 -12271  12358 -13063 -13080  13093  13109  13300  13367
 -13390  13483  13538 -13725  14031 -14128  14197  14580  14591  14906
 -15026  15141 -15160 -15189  15631  15781  16003  16025 -16130  16290
 -16384]"
38765,p3,abstract,0.4785843607646008,0.333515284978957,0.3394076228719744,0.4870396876744806,"[   149   -155    392   -480   -569    630   -685   -725   -825  -1032
   1178  -1185   1587  -1685  -1688   1708   1800  -1920   1928  -2009
  -2041   2064   2281  -2353   2564   2579  -3322   3436   3488   3991
   4465   4521  -4789  -4790   5381  -5408   5428  -5681   5876  -6272
   6690  -6745  -6996  -7085   7283   7517  -7541   7795  -7833   7884
  -8087  -8246   8502   8659   8768   8873   9190  -9349  -9839 -10248
 -10355 -10399  10430 -10563 -10696  10811  10973  10995  11038 -11070
 -11101  11160 -11281  11306  11539  11595 -11606 -11657 -11815 -11939
  12131 -12271  12358 -12740 -13063 -13080  13109  13300  13367 -13390
 -13568  13662 -13725 -13726  13803  14031 -14170 -14252 -14487  14591
  14768 -14790  14906 -15026  15141  15143 -15160 -15189 -15281  15631
  15781  16003  16025  16290 -16384]"
38766,p3,abstract,0.4772000463947164,0.3526161615695635,0.3563701813741619,0.4822804103149266,"[  -155    749  -1032  -1371  -1688   1708   1800  -2009  -2041  -2353
  -3322   3488  -3765  -3964   4521   4608   4689  -4790  -5069   5511
  -5590  -5681   5876  -6745   7217   7283  -7541   7775   7884  -8246
  -8291  -8380   8659 -10355 -10563 -10739  10811  10973  10995  11038
 -11101  11160  11185  11214  11306  11384  11539 -11657 -11841  12249
  12358  13109  13367 -13390 -13725 -13726  14031 -14790 -15026 -15160
 -15189 -15758  15781  16025 -16384]"
157022,p3,abstract,0.4714890073901818,0.3419740616139892,0.3492152016180556,0.4814725654903993,"[    15    260    355    392    621    704    742    805   -885   -903
    908  -1206  -1414   1565  -1685   1728   1800   1844  -1848   1903
   1922  -1978  -2009   2064   2116   2160  -2167  -2383  -2632   2705
   2735   2882   3122   3343   3436   3488  -3549   4253   4521  -4667
  -4853  -5069   5221   5456   5473  -5479  -5511   5518  -5562   5590
   5727  -5828  -5911  -5956  -6000  -6118  -6125  -6218  -6479   6788
  -7148  -7188  -7217  -7306   7431  -7507  -7541  -7763  -7776  -7795
   7884   7890   7903   7946   8219  -8246   8325   8659   8702   8728
  -8806   8992   9128   9228   9340   9349   9454  -9759   9996  10076
 -10110 -10248  10253 -10453  10512 -10739 -10818  10972 -11101  11136
  11160  11173  11214 -11384  11484  11513  11539 -11646  11655  11745
 -12122  12131 -12252 -12332 -12358  12376 -12780  12874  12917 -13080
  13097  13263  13297 -13364  13367 -13433  13483  13644  13718 -13725
 -13834  14296  14454  14591 -14652 -14668 -14790 -15026 -15063 -15272
 -15281 -15335 -15408  15444 -15758  15781  15953  16003  16025  16063
  16095 -16186 -16384]"
