,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
0,121,langfroi12345all,0.34671490462310744,0.5405964666150129,0.3543713974112742,0.552534438974308,0.6413562167619962,5,93,27.2,28.895674416770408,442.0,100.0,6.758553058109736,0.4423793006094207,-0.0437291268951709,45,p3
1,684,langfroi12345all,0.46063386013115803,0.6554445585751643,0.4627269059827616,0.6584227927716066,0.7027808135786576,6,33,12.6,6.974238309665077,460.0,100.0,11.600527837938364,0.3268521922016944,0.3237716059960174,STSvp,p3
2,744,langfroi12345all,0.28113730517223523,0.40937034450006493,0.29022070843180287,0.42259689200262474,0.6867554256172814,5,30,12.8,5.3814496188294845,640.0,1000.0,5.320196292013276,0.5024865491753046,-0.0900265940150254,IFSp,p3
3,1006,langfroi12345all,0.1879221389582994,0.4573779104839651,0.19305497152389423,0.46987055369635833,0.41086841898300996,2,10,4.4,2.244994432064365,2620.0,1000.0,3.4411445140134487,0.2359370267879329,0.048898593677626,8C,p3
4,1160,langfroi12345all,0.3289951200826778,0.6108611434416092,0.331847906399766,0.6161580497033592,0.5385759490759386,7,79,29.6,14.037093716293269,280.0,100.0,8.35114190473498,0.3689877712207524,0.1302678384046259,45,p3
5,1236,langfroi12345all,0.19202787568553734,0.4143089481498501,0.19462945875627588,0.4199219829330252,0.46348956869761687,2,27,8.2,9.431860898041277,460.0,100.0,5.963765765589969,0.3962243882515286,0.0298274822190828,A5,p3
6,1350,langfroi12345all,0.02087085607220242,0.08361228889485564,0.019856636096908787,0.07954914681367718,0.24961469597427238,1,10,3.6,3.2619012860600183,42400.0,10000.0,4.834671594034612,0.0589451142024695,0.0187827937344037,A5,p3
7,1518,langfroi12345all,-0.06880806125881515,-0.15578327803950928,-0.06916932580287832,-0.15660119056144362,0.44169093194562425,1,10,3.6,3.3823069050575527,60220.0,100000.0,6.155854335070614,0.1938569914424297,0.2308385139871366,STSvp,p3
8,1669,langfroi12345all,0.29089954361632075,0.4746660165550037,0.29307707159775204,0.47821912812071415,0.6128510014843493,3,108,34.2,25.771301868551383,280.0,100.0,11.502779464872972,0.2888934884853563,0.2637318841649302,PGi,p3
9,1747,langfroi12345all,0.0975763010619981,0.2378830492218585,0.0986620266351226,0.24052995945663874,0.41018601947965977,1,3,1.4,0.4898979485566356,28.0,10.0,4.5657806315102745,0.3547714655579977,0.0385588186912529,A5,p3
10,1749,langfroi12345all,0.24169375730543247,0.3803917641225942,0.2431500668359535,0.38268378919431906,0.6353811520155269,3,64,17.4,21.932624102008408,820.0,1000.0,5.562705912411216,0.3416071180502034,0.2663448788158382,A5,p3
11,1913,langfroi12345all,0.4098288490245956,0.5781455737483248,0.41574532081243826,0.5864919407366155,0.7088679177590662,8,111,36.4,26.911707489492375,460.0,100.0,10.313544031253324,0.2840460592870379,0.4784990703341819,PFm,p3
12,2029,langfroi12345all,0.1289222620686763,0.27927981378273287,0.13070942412226258,0.28315128080104557,0.4616239903717925,1,27,6.8,9.620810776644555,46.0,10.0,3.7006229860496314,0.3633200065385149,-0.011838918899401,8C,p3
13,2030,langfroi12345all,0.11887723719103312,0.2730983582376487,0.12193880325365547,0.2801317372519562,0.43529092579746226,2,112,32.8,35.02227862375605,424.0,100.0,4.571279256235775,0.2899072527285293,-0.2005851001207004,8C,p3
14,2031,langfroi12345all,0.08646606711038464,0.1720296898419743,0.08746652367440037,0.17402016122756742,0.5026229320637151,1,26,8.0,8.67179335547152,20620.0,1000.0,5.112113030112657,0.159078189336717,-0.0596430291070077,8C,p3
15,2217,langfroi12345all,0.20006633480214356,0.37473089739015425,0.20322111312977356,0.3806399020957632,0.5338933517239247,2,26,7.6,9.264987857520374,4240.0,1000.0,6.746718734143202,0.2740508263713162,0.1064919367371939,IFSp,p3
16,2279,langfroi12345all,0.188742069737169,0.5456436205123475,0.19118264836727938,0.552699207863556,0.3459072233996694,3,14,5.8,3.124099870362662,820.0,1000.0,7.421305248952338,0.3072790619763789,0.0039955176978235,PSL,p3
17,2280,langfroi12345all,0.15231721799095657,0.24789175107264028,0.15440590551979536,0.25129102802764725,0.6144505306524811,2,14,6.0,3.1622776601683795,622.0,1000.0,8.29965266981479,0.4014113673990255,0.0314972395385096,STV,p3
18,2300,langfroi12345all,-0.10273252964438553,-0.8738817034052911,-0.10386343705327747,-0.8835016290149995,0.11755885178058245,1,8,2.6,1.3564659966250536,40600.0,1000.0,5.814950922809994,0.0265504743062448,-0.19600520384083,PHT,p3
