,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
0,288,langfroi12345all,0.05857850976431104,0.23561551292862157,0.06048069463200646,0.24326651438103775,0.24861907026494082,1,5,2.0,1.2649110640673518,44200.0,10000.0,5.462852458208452,0.2368237516144713,-0.0178959963594581,TPOJ1,p5
1,456,langfroi12345all,0.1618032349961223,0.25112521512313385,0.16322032273433137,0.2533245930472813,0.6443129771607585,2,3,2.2,0.39999999999999997,8200.0,10000.0,5.8930451928062455,0.6117897444301008,0.1693952136296169,IFJa,p5
2,532,langfroi12345all,0.0789684464396883,0.15628019919530065,0.07976795912107656,0.15786245143324934,0.5053003953559261,1,16,6.2,4.308131845707603,22420.0,1000.0,5.452349081062066,0.4803358068542502,0.0368055397537249,A5,p5
3,543,langfroi12345all,0.0516149229136297,0.08357268386673837,0.051478978235781646,0.08335256803697781,0.6176051853968549,1,1,1.0,0.0,80020.0,100000.0,9.439669202465971,0.4340690902568997,-0.0004105454351595,PSL,p5
4,549,langfroi12345all,0.036363215157652826,0.06819985777956951,0.036774222594582115,0.06897070954895777,0.5331860848622778,1,2,1.2,0.4000000000000001,80020.0,100000.0,5.544550311998516,0.3906049812434062,0.1624016400536508,A5,p5
5,558,langfroi12345all,-0.012770446779665889,-0.019981904332856733,-0.01309891865606656,-0.02049586392436633,0.6391005865575651,1,3,1.6,0.8,40420.0,1000.0,8.5892324110662,0.3820459435024373,0.2586662958677536,STSdp,p5
6,607,langfroi12345all,0.03812087494541323,0.0723982104776235,0.0387711380662756,0.07363317390271389,0.5265444365810044,1,55,12.8,20.123617964968428,20602.0,1000.0,6.923846502558999,0.4718636421431359,-0.0827021379056293,STSva,p5
7,1000,langfroi12345all,-0.07779703881468569,-0.14020848820752732,-0.07806416054832914,-0.14068990414587346,0.554866825890995,1,1,1.0,0.0,100000.0,100000.0,5.041139866068615,0.3719007437965032,0.1809420916388441,55b,p5
8,1166,langfroi12345all,-0.035239012106946264,-0.10452552934686854,-0.03560612856641852,-0.10561446572629449,0.33713306526298864,1,13,4.4,3.0066592756745814,20260.0,100.0,4.152015200234223,0.2946595908752741,0.1463735063932927,47l,p5
9,1233,langfroi12345all,-0.018077783223017084,-0.029184279159135497,-0.018464596149956387,-0.029808739376568884,0.6194356600155475,1,4,2.4,1.019803902718557,62200.0,100000.0,7.697222888714471,0.6182523865804587,0.1274570620526089,STSdp,p5
