,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
0,288,langfroi12345,-5.057621248222288e-05,-8.862632136404883e-05,0.0005741474617900142,0.001006097035772306,0.5706680781037028,2,14,4.4,4.800000000000001,24022.0,10000.0,9.69362835643005,0.2642774876164557,0.0640852649707057,TPOJ1,p8
1,556,langfroi12345,-0.05689409749853978,-0.09407735752768626,-0.05702766604609467,-0.09429822008734103,0.6047586687561486,1,4,1.6,1.2000000000000002,80200.0,100000.0,6.214249001658082,0.4995712106494925,-0.1906346497611727,TPOJ2,p8
2,767,langfroi12345,-0.01250476402753608,-0.021292199406485482,-0.012241048273889762,-0.02084316347098887,0.5872932048404169,1,7,2.4,1.4966629547095764,22042.0,100.0,10.141085966080064,0.2455099351807328,-0.0864375575365034,STV,p8
3,1000,langfroi12345,-0.06002060973290265,-0.09300008566555307,-0.060459074631506134,-0.09367947351770793,0.645382305869575,1,2,1.4,0.4898979485566356,44020.0,10000.0,6.773392040264391,0.5312960336738708,-0.2764001050518936,55b,p8
4,1002,langfroi12345,-0.001892823285257586,-0.0031198740630099205,-0.0016597187192992262,-0.002735656003687123,0.6066986189280574,1,7,2.2,1.9390719429665317,40240.0,1000.0,7.23228198967437,0.5191615415128992,0.1845848537166575,55b,p8
5,1127,langfroi12345,0.091146069547921,0.14026943921141227,0.09216334739455724,0.14183498113524518,0.6497927849454564,3,17,7.4,2.5768197453450252,1000.0,1000.0,4.128954915267801,0.2374136280421615,-0.3659514217167918,47l,p8
6,1226,langfroi12345,0.10587289224986976,0.15390968209832892,0.10856639163587095,0.1578252796174096,0.6878897468076784,3,19,8.4,2.4166091947189146,640.0,1000.0,8.194914073414717,0.0939742120591077,0.3985097016133222,TPOJ1,p8
7,1233,langfroi12345,-0.13150655172000728,-0.21727962255804908,-0.13567411238531984,-0.22416540882879596,0.6052410721804967,1,2,1.2,0.4000000000000001,80200.0,100000.0,6.241623507045561,0.3986342548508669,0.4108115333857188,STSdp,p8
8,1351,langfroi12345,0.09416142712571292,0.14987044611414402,0.09461571407794603,0.150593504273661,0.6282854930184026,1,2,1.2,0.4,80200.0,100000.0,6.159035570048071,0.4034548813823304,-0.1394695638383803,STSda,p8
9,1538,langfroi12345,-0.10370940978561767,-0.16586380231869688,-0.10535133344703342,-0.16848975209666214,0.62526849340127,1,1,1.0,0.0,100000.0,100000.0,7.169620779614751,0.3896648459273469,-0.2013401921576751,8Av,p8
10,1669,langfroi12345,-0.041393927734573344,-0.06981480748520119,-0.041820891728040765,-0.07053492298615531,0.5929104329815378,1,2,1.2,0.4,100000.0,100000.0,7.375899171946882,0.1331442139754589,0.3054419710482313,PGi,p8
11,1670,langfroi12345,-0.08126520731445361,-0.1341497374783061,-0.08392637640430639,-0.1385427015349626,0.6057798460291086,1,4,1.8,0.7483314773547883,62200.0,100000.0,7.070610765894109,0.2561226138287678,0.1995384828497531,PGi,p8
12,1671,langfroi12345,-0.04732476789596514,-0.06584751192789695,-0.047661223680812624,-0.06631565529744622,0.7187024461575068,1,3,1.6,0.4898979485566356,62200.0,100000.0,6.488868064716573,0.3683842674035587,-0.2874602312946941,PGi,p8
13,1747,langfroi12345,0.03953740488319685,0.05791386193403261,0.04004669499236455,0.05865986327513839,0.6826932890131268,1,5,2.2,1.4696938456699071,20440.0,1000.0,5.441247005128766,0.3993423258889648,-0.4443342887191055,A5,p8
14,2310,langfroi12345,-0.0415594107380878,-0.061329405751401264,-0.04179609145290257,-0.061678676526289895,0.6776424820835353,1,10,3.4,3.3226495451672298,44200.0,10000.0,6.939451292072844,0.3808662883126402,-0.0759775247506645,PHT,p8
15,2921,langfroi12345,0.1551277886027655,0.26390016383115755,0.15636573519206115,0.2660061327917924,0.5878275570227222,2,7,4.4,1.7435595774162693,20620.0,1000.0,7.358036733939868,0.4733301260912542,0.1548015316411934,55b,p8
16,2922,langfroi12345,-0.14734750965841498,-0.2549609167716862,-0.15035186376227758,-0.2601594632446014,0.5779219478974597,1,2,1.4,0.4898979485566356,82000.0,100000.0,7.04614923599996,0.4197913253925308,0.0988931109329269,55b,p8
17,3670,langfroi12345,0.06655624513317362,0.09566450622833059,0.06688205434176873,0.09613280754254278,0.695725590997336,1,2,1.8,0.4,28000.0,10000.0,6.48547705436343,0.4341120087823402,-0.4561458082424049,IFSp,p8
18,3742,langfroi12345,0.0737162309841815,0.10010265019345915,0.07698083578688321,0.10453580674828712,0.7364063872606463,1,2,1.6,0.4898979485566356,44020.0,10000.0,7.806645191497674,0.2050722375743504,-0.3966634349067094,PGi,p8
19,3744,langfroi12345,0.06845179755571582,0.09623078041784165,0.07056399120880645,0.09920014062295655,0.71132954818087,1,4,1.6,1.2000000000000002,442.0,100.0,6.101956772266698,0.161892434292819,-0.5161231985338112,PGi,p8
20,4205,langfroi12345,0.06480475381353556,0.11349906642145013,0.06538030961642208,0.11450709503751477,0.5709716904005137,1,2,1.6,0.4898979485566356,44200.0,10000.0,9.885246166599645,0.1132029537548308,0.1031331377044193,PFm,p8
21,4818,langfroi12345,0.03230506975990332,0.047972280052230754,0.030419264198803884,0.04517190249002527,0.6734111808888497,1,2,1.2,0.4,20260.0,100.0,3.54058777917409,0.2674266696304134,-0.3861414423260614,47l,p8
22,5117,langfroi12345,-0.12727906206441958,-0.2182851908271886,-0.1285393339315763,-0.22044657291591901,0.5830861066758464,1,3,1.6,0.4898979485566356,80200.0,100000.0,8.839270216739592,0.1344678570197712,0.1871450188156893,PGi,p8
23,5118,langfroi12345,-0.09919020026466373,-0.15595062268481483,-0.09989167998544819,-0.1570535159037539,0.6360359359714313,1,12,4.0,3.687817782917155,20080.0,100.0,7.5253644195720995,0.2223559264780775,0.2542046331047528,TPOJ2,p8
24,5119,langfroi12345,-0.12448302116631131,-0.19950150840297126,-0.13292426496484766,-0.21302978603334244,0.6239703256522211,1,3,1.4,0.8,80200.0,100000.0,6.034780229755483,0.3792945971353687,-0.3704178133491467,TPOJ2,p8
25,5120,langfroi12345,-0.032696757871476176,-0.05036669556617223,-0.033312707465209986,-0.051315515806810284,0.6491741716213817,1,2,1.4,0.4898979485566356,42220.0,10000.0,6.853512984556302,0.2609599819805236,-0.1847385090675611,TPOJ2,p8
