,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
0,121,langfroi12345all,0.3124581005226972,0.48718339723936704,0.3206956865905326,0.5000274078726846,0.6413562167619962,6,142,50.0,32.97878105691598,82.0,100.0,6.758553058109736,0.4423793006094207,-0.0437291268951709,45,p3
1,684,langfroi12345all,0.3841985910808915,0.5466833807321786,0.3864784662766051,0.549927457906261,0.7027808135786576,4,44,14.8,11.651609330903607,442.0,100.0,11.600527837938364,0.3268521922016944,0.3237716059960174,STSvp,p3
2,744,langfroi12345all,0.34683411574747824,0.5050329459512181,0.3515230357664189,0.511860587705524,0.6867554256172814,4,6,4.8,0.7483314773547882,244.0,100.0,5.320196292013276,0.5024865491753046,-0.0900265940150254,IFSp,p3
3,1006,langfroi12345all,0.22568980195147575,0.5492994630984485,0.23469554179018615,0.5712182561295643,0.41086841898300996,4,73,19.8,26.141155291991208,460.0,100.0,3.4411445140134487,0.2359370267879329,0.048898593677626,8C,p3
4,1160,langfroi12345all,0.3266226077208154,0.6064559850494957,0.33059227074784264,0.6138266502896317,0.5385759490759386,6,28,13.6,5.462600113499065,620.0020000000001,1000.0,8.35114190473498,0.3689877712207524,0.1302678384046259,45,p3
5,1236,langfroi12345all,0.16536024061449406,0.35677230251189535,0.16633779086682893,0.3588814120115584,0.46348956869761687,2,20,6.2,6.431174076325411,64.0,100.0,5.963765765589969,0.3962243882515286,0.0298274822190828,A5,p3
6,1350,langfroi12345all,0.02560595399642197,0.10258191688786288,0.025616160479107107,0.10262280583731075,0.24961469597427238,1,5,2.8,1.16619037896906,22600.0,1000.0,4.834671594034612,0.0589451142024695,0.0187827937344037,A5,p3
7,1518,langfroi12345all,0.010293154598953153,0.023303975369411308,0.01032221653522439,0.023369772364933084,0.44169093194562425,1,18,5.8,5.418486873657626,40240.0,1000.0,6.155854335070614,0.1938569914424297,0.2308385139871366,STSvp,p3
8,1669,langfroi12345all,0.25231305180210606,0.41170374396222553,0.2577921770273756,0.4206441311232139,0.6128510014843493,5,31,12.4,5.748043145279966,280.0,100.0,11.502779464872972,0.2888934884853563,0.2637318841649302,PGi,p3
9,1747,langfroi12345all,0.1687346703302981,0.41136133928783325,0.16930329543170583,0.41274760082382866,0.41018601947965977,1,3,1.4,0.4898979485566356,10.0,10.0,4.5657806315102745,0.3547714655579977,0.0385588186912529,A5,p3
10,1749,langfroi12345all,0.3032170235320682,0.477220677022315,0.30696577612533144,0.48312068299726657,0.6353811520155269,2,47,15.0,15.139352694220449,640.0,1000.0,5.562705912411216,0.3416071180502034,0.2663448788158382,A5,p3
11,1913,langfroi12345all,0.40514813239769343,0.571542486615112,0.40871528614541786,0.5765746705500279,0.7088679177590662,6,52,22.2,9.042123644365851,100.0,100.0,10.313544031253324,0.2840460592870379,0.4784990703341819,PFm,p3
12,2029,langfroi12345all,0.21856123731173344,0.47346160916746105,0.2208822839737177,0.4784896118501529,0.4616239903717925,1,2,1.6,0.4898979485566356,10.0,10.0,3.7006229860496314,0.3633200065385149,-0.011838918899401,8C,p3
13,2030,langfroi12345all,0.18199211601476956,0.4180930619708098,0.1836710199559844,0.42195003173910683,0.43529092579746226,2,24,10.8,4.955804677345546,2242.0,100.0,4.571279256235775,0.2899072527285293,-0.2005851001207004,8C,p3
14,2031,langfroi12345all,-0.026119420027251917,-0.05196623226084894,-0.02613896398906511,-0.05200511620458972,0.5026229320637151,1,4,1.8,1.1661903789690602,60400.0,100000.0,5.112113030112657,0.159078189336717,-0.0596430291070077,8C,p3
15,2217,langfroi12345all,0.20999542634565432,0.39332841599841195,0.21392180323770124,0.4006826504712121,0.5338933517239247,3,10,5.2,1.9390719429665317,1000.0,1000.0,6.746718734143202,0.2740508263713162,0.1064919367371939,IFSp,p3
16,2279,langfroi12345all,0.1803634112502019,0.5214213495674987,0.18158163696940038,0.5249431774935693,0.3459072233996694,2,9,4.8,1.469693845669907,100.0,100.0,7.421305248952338,0.3072790619763789,0.0039955176978235,PSL,p3
17,2280,langfroi12345all,0.11471001317563842,0.18668714152436094,0.11573869931193143,0.1883612976768516,0.6144505306524811,1,26,9.8,7.626270385975047,226.0,10.0,8.29965266981479,0.4014113673990255,0.0314972395385096,STV,p3
18,2300,langfroi12345all,-0.05310320828962574,-0.45171594895074463,-0.0546400310012826,-0.46478874345647236,0.11755885178058245,1,5,2.4,1.4966629547095764,44020.0,10000.0,5.814950922809994,0.0265504743062448,-0.19600520384083,PHT,p3
19,2308,langfroi12345all,0.24608453360738308,0.3676552522745414,0.2551937146911988,0.38126455238085355,0.6693350144869491,3,152,39.0,53.81449618829484,260.2,100.0,5.9404534292898346,0.3046310577956384,0.3258295353580491,PHT,p3
20,2309,langfroi12345all,-0.04771956846656279,-0.08947477001855314,-0.04943893083591729,-0.09269859532796146,0.5333298812242585,1,29,11.0,8.579044235810887,20242.0,100.0,10.015948897748263,0.2268307275146452,-0.073308239118404,PHT,p3
21,2312,langfroi12345all,0.10008667001976261,0.23023092351823035,0.10122180278088423,0.2328420870613598,0.43472296636050045,1,70,19.8,23.83610706470333,20260.0,100.0,6.997089979174458,0.178556429242227,0.2719562790859157,STSvp,p3
22,2457,langfroi12345all,0.35758408994866053,0.6791028805460739,0.36275385500733603,0.6889209972961705,0.526553634496622,5,52,20.8,13.644046320648432,422.00200000000007,100.0,4.2405259693793305,0.2222463662973607,-0.1415578749892697,STSva,p3
23,2459,langfroi12345all,0.11374170799176833,0.4024956717296284,0.11419851226497735,0.40411215653577826,0.2825911332238448,2,69,19.6,23.414525406251563,262.0,100.0,4.545377927465414,0.1363215061066146,0.2027831128245195,STSva,p3
24,2664,langfroi12345all,0.2066354683675334,0.3517985187018968,0.20925601655434825,0.3562600227098566,0.5873687846384308,4,33,12.4,8.867919710958146,460.0,100.0,5.299825910571064,0.4725384922640183,-0.0390638400142204,IFSp,p3
25,2738,langfroi12345all,0.21207811225725912,0.37569710373741955,0.21583520091865477,0.38235279919579296,0.5644922735563161,4,18,8.6,3.2,280.0,100.0,6.114688708103419,0.1105192848347614,-0.2590653732101731,PHT,p3
26,2926,langfroi12345all,-0.013316044003101036,-0.049547388642922456,-0.013378808573376278,-0.04978092801510455,0.2687536995958949,1,19,6.6,5.388877434122992,20620.0,1000.0,3.6074397817681056,0.0116551345043148,-0.1769004179867346,8C,p3
27,3081,langfroi12345all,0.28674060626419856,0.47166596297380164,0.2949705631651648,0.48520360104153487,0.6079315209779624,4,18,7.8,3.8157568056677826,820.0,1000.0,8.143312694821518,0.1883639040320411,0.3078361726762594,45,p3
28,3082,langfroi12345all,0.3154536572664595,0.4529782341908466,0.3167329016116713,0.4548151754696829,0.6963991500164534,3,12,6.6,1.8547236990991407,1000.0,1000.0,10.15514379722432,0.2195203384814866,0.2818048903625619,45,p3
