,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
0,288,langfroi12345,0.21784972036931313,0.38174506114520235,0.2239817299944708,0.3924903785379922,0.5706680781037028,6,83,27.0,20.228692493584454,100.0,100.0,9.69362835643005,0.2642774876164557,0.0640852649707057,TPOJ1,p8
1,556,langfroi12345,0.24582802374717772,0.4064894584360241,0.2468864827049943,0.4082396755267416,0.6047586687561486,3,75,24.4,21.996363335788033,82.0,100.0,6.214249001658082,0.4995712106494925,-0.1906346497611727,TPOJ2,p8
2,767,langfroi12345,0.31396160254314254,0.5345908993250725,0.3176464458803129,0.540865181586131,0.5872932048404169,5,34,18.2,3.4871191548325386,440.00200000000007,100.0,10.141085966080064,0.2455099351807328,-0.0864375575365034,STV,p8
3,1000,langfroi12345,0.256399595715545,0.3972832743997798,0.26605165230183964,0.41223883871958195,0.645382305869575,5,28,12.2,5.912698199637793,46.0,10.0,6.773392040264391,0.5312960336738708,-0.2764001050518936,55b,p8
4,1002,langfroi12345,0.34326604454374204,0.5657933508242363,0.34558946786712025,0.5696229677887241,0.6066986189280574,4,59,20.6,16.71645895517349,64.0,100.0,7.23228198967437,0.5191615415128992,0.1845848537166575,55b,p8
5,1127,langfroi12345,0.26178866909866516,0.40288023376658405,0.26922962115946253,0.41433150289913057,0.6497927849454564,3,47,16.6,12.515590277729613,460.0,100.0,4.128954915267801,0.2374136280421615,-0.3659514217167918,47l,p8
6,1226,langfroi12345,0.5211020148394583,0.7575371158790495,0.5285632812700595,0.7683837180638138,0.6878897468076784,6,50,24.8,6.20966987850401,100.0,100.0,8.194914073414717,0.0939742120591077,0.3985097016133222,TPOJ1,p8
7,1233,langfroi12345,0.3206643523561931,0.5298126103718283,0.3218954379159541,0.5318466520394332,0.6052410721804967,4,11,7.4,0.7999999999999999,620.0020000000001,1000.0,6.241623507045561,0.3986342548508669,0.4108115333857188,STSdp,p8
8,1351,langfroi12345,0.36398244583723954,0.5793265161807236,0.36721727107897184,0.5844751711754325,0.6282854930184026,6,74,31.8,14.204224723651762,280.0,100.0,6.159035570048071,0.4034548813823304,-0.1394695638383803,STSda,p8
9,1538,langfroi12345,0.2769739042659125,0.4429679524699204,0.27944113928286757,0.44691383338826646,0.62526849340127,1,21,9.0,5.0990195135927845,28.0,10.0,7.169620779614751,0.3896648459273469,-0.2013401921576751,8Av,p8
10,1669,langfroi12345,0.3276131388060236,0.5525508079838847,0.3300279698683235,0.5566236509091753,0.5929104329815378,4,54,23.2,13.181805642627264,280.0,100.0,7.375899171946882,0.1331442139754589,0.3054419710482313,PGi,p8
11,1670,langfroi12345,0.23629712409437417,0.390070956706968,0.24423804717761702,0.4031795524043912,0.6057798460291086,5,62,16.4,22.303362975121036,10.0,10.0,7.070610765894109,0.2561226138287678,0.1995384828497531,PGi,p8
12,1671,langfroi12345,0.22793930735789844,0.31715393286409455,0.23461752061813496,0.32644597478762094,0.7187024461575068,4,41,14.6,10.725670142233536,100.0,100.0,6.488868064716573,0.3683842674035587,-0.2874602312946941,PGi,p8
13,1747,langfroi12345,0.4773473222391629,0.6992119739879038,0.4777434605690267,0.6997922321158788,0.6826932890131268,7,47,19.6,9.286549412995118,280.0,100.0,5.441247005128766,0.3993423258889648,-0.4443342887191055,A5,p8
14,2310,langfroi12345,0.1996820248390705,0.29467164488435216,0.20270088726279625,0.2991265934797291,0.6776424820835353,3,112,39.8,26.648827366321395,442.0,100.0,6.939451292072844,0.3808662883126402,-0.0759775247506645,PHT,p8
15,2921,langfroi12345,0.41976655704746174,0.7140981262830383,0.42293408676861977,0.7194866618889585,0.5878275570227222,4,20,8.4,5.083306010855534,46.0,10.0,7.358036733939868,0.4733301260912542,0.1548015316411934,55b,p8
16,2922,langfroi12345,0.269437339581169,0.4662175239431729,0.2728672228914632,0.4721523795456854,0.5779219478974597,3,24,10.0,5.253570214625479,226.0,10.0,7.04614923599996,0.4197913253925308,0.0988931109329269,55b,p8
17,3670,langfroi12345,0.5283103230068711,0.7593659480737629,0.5398760492393154,0.7759899250872643,0.695725590997336,7,35,19.4,5.314132102234569,100.0,100.0,6.48547705436343,0.4341120087823402,-0.4561458082424049,IFSp,p8
18,3742,langfroi12345,0.3253250286863333,0.44177377371278365,0.327043340134549,0.44410714761874287,0.7364063872606463,2,40,13.0,11.679041056525147,280.0,100.0,7.806645191497674,0.2050722375743504,-0.3966634349067094,PGi,p8
19,3744,langfroi12345,0.42231160017335156,0.5936933187344134,0.4268911080386765,0.6001312740773855,0.71132954818087,4,36,14.8,9.967948635501688,460.0,100.0,6.101956772266698,0.161892434292819,-0.5161231985338112,PGi,p8
20,4205,langfroi12345,0.153297959748172,0.2684860954150628,0.15750929128308147,0.2758618228035002,0.5709716904005137,2,24,9.8,6.584831053261731,22240.0,1000.0,9.885246166599645,0.1132029537548308,0.1031331377044193,PFm,p8
21,4818,langfroi12345,0.40823249678998197,0.6062157985721996,0.4242563005852522,0.6300107759203929,0.6734111808888497,6,55,20.6,11.976643937263894,100.0,100.0,3.54058777917409,0.2674266696304134,-0.3861414423260614,47l,p8
22,5117,langfroi12345,0.34857186204576746,0.5978051235570738,0.3514704464543367,0.6027762322413366,0.5830861066758464,8,73,26.2,20.073863604199364,100.0,100.0,8.839270216739592,0.1344678570197712,0.1871450188156893,PGi,p8
23,5118,langfroi12345,0.3735928671101889,0.5873769797921756,0.38243166891550034,0.6012736817007113,0.6360359359714313,7,50,25.2,6.04648658313239,100.0,100.0,7.5253644195720995,0.2223559264780775,0.2542046331047528,TPOJ2,p8
24,5119,langfroi12345,0.3142605496181705,0.5036466266078945,0.32470178305724756,0.5203801682681699,0.6239703256522211,6,64,19.8,19.853463173965395,62.2,100.0,6.034780229755483,0.3792945971353687,-0.3704178133491467,TPOJ2,p8
25,5120,langfroi12345,0.3233325439336171,0.49806748029740555,0.33133245575792325,0.5103906936568119,0.6491741716213817,6,27,13.0,4.898979485566356,280.0,100.0,6.853512984556302,0.2609599819805236,-0.1847385090675611,TPOJ2,p8
26,5140,langfroi12345,0.38157029608542103,0.6348924472203059,0.3906291349783542,0.6499653930253465,0.6009998981024532,3,11,6.0,1.4142135623730951,262.0,100.0,6.652838445218682,0.3521309655202447,0.405549676706725,STSdp,p8
