,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,R Fischer SEM,NC Normalized R Fischer SEM,Participant
0,287,langfroi12345,0.17062986705111755,0.297469177303051,0.17348953491031838,0.30245460605674984,0.5736052003710149,1,73,21.8,22.21170862405682,262.0,100.0,9.063295425772807,0.042834215442203,0.1875787621725426,PGi,0.06770989321147686,0.11804267668368638,p6
1,363,langfroi12345,0.10869488892998762,0.18331904141235797,0.10958852266205876,0.1848261967234283,0.5929274345565078,1,121,32.8,37.92835351026986,64.0,100.0,4.971117777270552,0.4139343311959447,0.3176392478895695,55b,0.04395392537604398,0.07413036202131584,p6
2,1150,langfroi12345,0.24520286479074968,0.38706462864662705,0.24667602292393917,0.38939008029356176,0.6334933410167248,1,90,19.0,34.035275817892234,10.0,10.0,7.63020454663181,0.4441552463310279,0.4133484496218952,44,0.03648765810595775,0.05759754008999826,p6
3,1235,langfroi12345,0.14955571832412906,0.21198803975789077,0.1518942004645873,0.2153027257526462,0.7054913026929963,1,117,44.6,24.467120795058825,28.0,10.0,9.676314766095915,0.4400529509780872,0.515409835267898,STSdp,0.06489459422817254,0.09198496704418234,p6
4,1672,langfroi12345,0.376001551678698,0.5760651555531883,0.38116775563596056,0.5839802029059797,0.6527066392648386,5,72,33.2,12.073110618229256,100.0,100.0,9.352461073807438,0.3045106615364993,-0.1780627474051147,TPOJ1,0.05471794858309004,0.08383237627967192,p6
5,1673,langfroi12345,0.10185340325947474,0.1681383002233122,0.10398948378780998,0.17166451474026295,0.6057715768756944,1,12,3.6,3.773592452822642,46.0,10.0,11.205067474389734,0.3968004828139998,0.0574856662389181,TPOJ1,0.06846600171790906,0.11302280320088116,p6
6,1674,langfroi12345,0.23069889086057715,0.35603443533186896,0.23310024645517408,0.35974041449788946,0.6479679153662109,1,86,27.6,23.99666643515303,64.0,100.0,14.295763318909874,0.4132236084191661,0.4932726878836242,TPOJ1,0.04701391395904975,0.07255592884175287,p6
7,1675,langfroi12345,0.2697147645507414,0.4265776707053279,0.2756015669249222,0.43588816747721754,0.6322758622240577,7,211,79.8,41.19417434540957,46.0,10.0,17.07828953954425,0.5613456068440711,0.3164012816195466,TPOJ1,0.06877124085056463,0.10876777836917388,p6
8,1676,langfroi12345,0.27783960433310106,0.4591847933315667,0.28145581391060004,0.46516129351941143,0.6050714404483328,2,76,23.2,21.44201483070096,82.0,100.0,11.139599262306668,0.5524104899234327,0.3035173976989251,TPOJ1,0.05726150314279438,0.09463593770078783,p6
9,1750,langfroi12345,0.3713336824802499,0.5447904223528898,0.37670796325426353,0.5526751277562938,0.6816083162337925,3,71,22.8,20.575713839378697,100.0,100.0,12.695802271222538,0.5116182297431686,0.0493600694870471,STGa,0.054933355265322004,0.08059372803555964,p6
10,2236,langfroi12345,0.39962105501245115,0.5975352363252366,0.4161991997409629,0.6223237841355531,0.6687824093355034,12,205,78.0,39.0281949364815,26.2,10.0,12.687627811493444,0.2851756812462805,0.5675976444668449,STSda,0.09098121441947266,0.13604008291705944,p6
11,2313,langfroi12345,0.23262583857241492,0.3819780724050764,0.23631559391620047,0.38803675291329,0.6090031218486336,1,179,62.2,38.72673495145182,28.0,10.0,11.309390927882031,0.4191384770541982,0.5335982651727941,STSdp,0.0618212130776111,0.10151214478170874,p6
12,2314,langfroi12345,0.2502311641688487,0.3963468236598653,0.2572600788052733,0.4074800811786745,0.6313439372573115,2,69,19.0,21.372880011828073,28.0,10.0,10.1862926535525,0.302347555857766,0.5355549726764981,STSdp,0.0772737439943913,0.12239563799421976,p6
13,2605,langfroi12345,0.35522803576893286,0.5723202414645636,0.35985843730244615,0.5797804423971894,0.6206805386786718,6,29,15.6,1.3564659966250536,82.0,100.0,11.09506275533714,0.1397925191460765,0.449469671669786,STSdp,0.05254220496264589,0.08465257356787716,p6
14,3078,langfroi12345,0.19365831658261262,0.3226527549918419,0.198359190481081,0.33048484782924414,0.6002066109353666,1,34,11.8,10.067770358922575,82.0,100.0,9.4779786646574,0.3903433357507195,0.0988519096726184,45,0.06932103187629471,0.1154952821466999,p6
15,3147,langfroi12345,0.34405074247226475,0.4705775456901067,0.34733335291875267,0.4750673565716789,0.7311244355437974,2,73,24.0,19.3183850256692,64.0,100.0,10.368992408350596,0.2962502406612936,-0.2644806668608774,TPOJ1,0.046327705395585894,0.06336500757374929,p6
16,3148,langfroi12345,0.40838819510739394,0.5652837636854123,0.4203448544982943,0.581833961518176,0.7224481248937255,2,33,12.8,8.908422980528034,64.0,100.0,9.134627304891117,0.3207117431675872,-0.3348363988175332,TPOJ1,0.07271541767800588,0.10065140343287977,p6
17,3149,langfroi12345,0.25666182586476544,0.4231140524841018,0.2591041539564508,0.42714029726314906,0.6066019891277644,1,110,32.0,33.087762088119526,28.0,10.0,9.358350170446592,0.3994945922744897,0.0111422324950012,TPOJ1,0.04501683641538229,0.07421148829418148,p6
18,3673,langfroi12345,0.22968199974112807,0.37548091686610424,0.23315588408324045,0.38115997434267324,0.6117008599481827,2,73,19.0,25.107767722360343,64.0,100.0,8.904689294828106,0.3793794122577857,0.3047523522831532,IFSp,0.05627279925519918,0.09199398421634729,p6
19,3751,langfroi12345,0.27325680989491413,0.4326142663693922,0.2757844704736803,0.43661600388266514,0.6316407736345684,7,142,63.4,15.90723106011854,28.0,10.0,15.530957357227988,0.5984121594745209,0.2012274469238836,TPOJ1,0.04612714931052042,0.07302750429662253,p6
20,5137,langfroi12345,0.33409569248005605,0.5019386367669977,0.3394806939572385,0.5100289544851964,0.6656106304786114,1,104,40.4,27.832355272236665,46.0,10.0,14.937844035524895,0.4460776670574995,0.5803437314681937,STSdp,0.05910612918939423,0.0887998575787373,p6
21,5138,langfroi12345,0.24458575313106395,0.3796230603025253,0.24496350662742744,0.3802093738407985,0.6442858158725953,1,83,23.2,27.191175038971743,28.0,10.0,13.685641100333346,0.4279099073547583,0.4598942575075796,STSdp,0.018558328339470076,0.02880449620691309,p6
