,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
0,120,langfroi12345,0.09199966521173607,0.16074130483682625,0.09318365618381905,0.16280996729695182,0.5723461390656741,1,55,11.8,21.6,280.0,100.0,8.882072307180763,0.2826315033446396,0.3147024479101503,IFSp,p1
1,133,langfroi12345,0.2998089630421192,0.4565910778134758,0.30183113510702325,0.4596707246434778,0.6566246639725088,3,72,28.4,14.705101155721438,208.0,10.0,10.080612241249938,0.2664879238041487,0.5372189473451634,TPOJ1,p1
2,287,langfroi12345,0.43920097264491764,0.6222092914028636,0.44498547872650535,0.6304041125765637,0.7058733752668231,10,96,48.6,12.467557900406959,46.0,10.0,10.449765613673168,0.1543204107818596,0.0305752127750761,PGi,p1
3,408,langfroi12345,0.1586828999813643,0.23682937132098036,0.15967473786316239,0.23830965900179638,0.6700304911348925,1,122,30.0,42.383959229878464,442.0,100.0,8.536910238495931,0.14425660090619,0.0157627621213198,PFm,p1
4,457,langfroi12345,0.3414850660902006,0.5076461234475752,0.35508850681122456,0.5278687763051166,0.6726832931788671,7,139,48.2,29.444184485225602,8.2,10.0,5.239034448205793,0.5784569559891445,0.0996671627719884,8C,p1
5,1150,langfroi12345,0.243796914217486,0.36804594700286064,0.2514088116904374,0.3795371835630654,0.6624089090039378,2,174,45.4,54.752534187925946,8.2,10.0,5.645478128381121,0.5260531773412807,0.0220624638823611,44,p1
6,1152,langfroi12345,0.3051309548583098,0.46159951099357716,0.3068575162969381,0.4642114384400772,0.6610296319455059,3,81,22.0,27.618834153526464,64.0,100.0,5.794822528556848,0.4454069742893741,0.3258100363075893,44,p1
7,1166,langfroi12345,0.29468601331021194,0.5140005284157935,0.3007164539839,0.5245190109797855,0.5733185026452537,2,81,18.4,31.30878470972644,10.0,10.0,4.933843089439459,0.5444540409041256,0.0746817060200873,47l,p1
8,1231,langfroi12345,0.2400866323777447,0.3984712238415655,0.24109670967065974,0.4001476467689744,0.602519374079581,2,104,35.2,27.520174418051933,28.0,10.0,10.815037383148894,0.2359598532550288,0.2340137049369689,STSdp,p1
9,1234,langfroi12345,0.3554051043933912,0.5916059668743309,0.36672649395638857,0.6104515083029209,0.6007463147661025,4,89,44.2,19.19791655362633,82.0,100.0,9.64684834612576,0.5364585797196392,-0.0854492049236991,STSdp,p1
10,1235,langfroi12345,0.34552515850355375,0.5250354678399552,0.3477836300786705,0.5284672806931212,0.6580986993604001,7,46,22.8,6.04648658313239,46.0,10.0,11.353217262115338,0.403516388576928,-0.0332807127134638,STSdp,p1
11,1351,langfroi12345,0.36755474012635364,0.5700119122372904,0.3719620901020905,0.5768469267624877,0.6448194015519876,9,124,44.0,23.52020408074726,64.0,100.0,8.293245761920925,0.2900857538339706,-0.3611462435321343,STSda,p1
12,1669,langfroi12345,0.30637713775655256,0.5001300367144131,0.31067569042333376,0.5071469940461458,0.6125949558424575,6,51,23.6,7.552483035399683,82.0,100.0,7.824918565155047,0.4031677889560615,-0.0826448905161828,PGi,p1
13,1914,langfroi12345,0.4486397701039769,0.5819889505345318,0.4574546348783622,0.593423857203549,0.7708733468082523,10,85,40.0,13.520355024924458,46.0,10.0,10.888339234252864,0.2741792653926064,-0.2063077116608027,STV,p1
14,2026,langfroi12345,0.04512500132522444,0.06874500481038186,0.045519117110945764,0.06934541457857205,0.6564113487182369,1,58,12.4,22.8,62002.0,100000.0,7.771548940571384,0.1539598182003729,0.08081750124913,8C,p1
15,2219,langfroi12345,0.4013994579615054,0.5477282657934078,0.4073095790401936,0.5557929014197206,0.732844154719788,9,86,37.8,11.232096865679177,6.202,10.0,5.9552567659585165,0.3453022026117221,0.4236480618501456,IFSp,p1
